Unternehmen,Branche,Kurzbeschreibung,Website,Kategorie
Vaude Sport GmbH & Co. KG,Outdoor-Bekleidung,Nachhaltiger Outdoor-Ausrüster mit Gemeinwohl-Bilanz,https://www.vaude.com,Bekleidung & Outdoor
Alnatura Produktions- und Handels GmbH,Bio-Lebensmittel,Bio-Supermarkt mit Fokus auf nachhaltige Produkte,https://www.alnatura.de,Lebensmittel & Ernährung
Ecosia GmbH,Suchmaschine,Pflanzt Bäume mit Suchanfragen,https://www.ecosia.org,Technologie & Internet
Sonett GmbH,Reinigungsmittel,Hersteller ökologischer Wasch- und Reinigungsmittel,https://www.sonett.eu,Haushalt & Pflege
Elobau GmbH & Co. KG,Sensorik,Produziert Sensorik mit Gemeinwohl-Bilanz,https://www.elobau.com,Industrie & Technik
Voelkel GmbH,Bio-Säfte,Bio-Safthersteller mit nachhaltiger Landwirtschaft,https://www.voelkeljuice.de,Lebensmittel & Ernährung
Wildling Shoes GmbH,Schuhhersteller,Minimalistische Barfußschuhe aus nachhaltigen Materialien,https://www.wildling.shoes,Bekleidung & Outdoor
Polarstern GmbH,Energieversorger,Bietet 100 % Ökostrom und Ökogas,https://www.polarstern-energie.de,Energie & Umwelt
Followfood GmbH,Lebensmittel,Transparente Lieferketten und nachhaltige Produkte,https://www.followfood.de,Lebensmittel & Ernährung
Einhorn Products GmbH,Hygieneprodukte,Hersteller veganer Kondome und Periodenprodukte,https://einhorn.my,Haushalt & Pflege
