name,category,location
wetell,Telekommunikation,Freiburg
shiftphones,Elektronik,Hungen
Ecosia,IT,Berlin
Tomorrow,Finanzen,Hamburg
Vytal,Food & Verpackung,Köln
Goldeimer,Sanitär & Nachhaltigkeit,Hamburg
Wildplastic,Recycling,Hamburg
Sono Motors,Mobilität,München
Plan3t,Nachhaltigkeit,Berlin
Cirplus,Recycling,Hamburg
Infarm,Landwirtschaft,Berlin
Enpal,Energie,Berlin
Einhorn Products,Konsumgüter,Berlin
Viva con Agua,Getränke & Soziales,Hamburg
Original Unverpackt,Einzelhandel,Berlin
Polarstern Energie,Energie,München
Fairphone,Elektronik,Amsterdam/Deutschland
Nebenan.de,Soziales & Digital,Berlin
Too Good To Go,Lebensmittel,Berlin
Soulbottles,Konsumgüter,Berlin
Enyway,Energie,Hamburg
Lemonaid,Getränke,Hamburg
Stadtfarm,Landwirtschaft,Berlin
Recup,Kreislaufwirtschaft,München
Veganz,Lebensmittel,Berlin
Mobisol,Energie,Berlin
Grover,Elektronik,Berlin
Share,Konsumgüter,Berlin
Lilium,Mobilität,München
Volocopter,Mobilität,Bruchsal
Plan A,Carbon Management,Berlin
Climeworks,Carbon Capture,Deutschland/Schweiz
Sunfire,Renewable Energy,Dresden
Northvolt,Battery Technology,Deutschland/Schweden
Blue Movements,Circular Economy,Berlin
Carbonauten,Carbon Management,Giengen
Ecoligo,Solar Energy,Berlin
Enapter,Hydrogen Technology,Berlin
Envoria,Sustainability Software,Karlsruhe
everwave,Ocean Cleanup,Aachen
Green City Solutions,Air Quality,Berlin
HeimatERBE,Sustainable Agriculture,München
INERATEC,Renewable Fuels,Karlsruhe
Kraftblock,Energy Storage,Sulzbach
Monta,E-Mobility,München
Numbat,E-Mobility,München
Pina Earth,Forest Conservation,München
Planet A Foods,Sustainable Food,München
Seawater Solutions,Sustainable Agriculture,Hamburg
Spoontainable,Sustainable Products,Stuttgart
Next Kraftwerke,Energiewende,Essen
Ecoalf,Circular Economy,Muenchen
1KOMMA5°,Energy,Hamburg
Thermondo,Energy,Berlin
Lumenion,Energy Storage,Berlin
ZVNDER,Sustainable Fashion,Berlin
PYUA,Sustainable Fashion,Hamburg
Circular.Fashion,Sustainable Fashion,Berlin
Innocent Alps,Sustainable Food,Hamburg
Planted,Alternative Protein,Berlin
Dance,Sustainable Mobility,Berlin
Tier Mobility,Sustainable Mobility,Berlin
Voi Technology,Sustainable Mobility,Berlin
Resourcify,Waste Management,Hamburg
Cleanhub,Waste Management,Berlin
Ecoworks,Green Building,Berlin
Madaster,Circular Construction,Berlin
Concular,Circular Construction,Berlin
Planetly,Carbon Management,Berlin
Climate Partner,Carbon Management,Munich
Right Based On Science,Carbon Management,Frankfurt
